customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,feedback_topic,churn_probability,origin,num_addons,status_venda,recommended_action,priority_score,churn_probability_display
7632-MNYOY,Male,1,No,No,66.0,Yes,Yes,Fibra ótica,No,Yes,Yes,Yes,Yes,Yes,1 ano,No,Cartão de crédito,110.9,7432.05,Alto Preço,0.9992731213569641,inference,5,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade.",166.23,99.9%
0691-IFBQW,Female,1,No,No,46.0,Yes,Yes,Fibra ótica,Yes,Yes,Yes,No,Yes,Yes,1 ano,Yes,Fatura digital,110.0,5060.0,Alto Preço,0.9993909597396851,inference,5,CRÍTICO,"Cliente com alta probabilidade de churn devido ao preço alto, ofereça 15% de desconto por fidelidade.",164.9,99.9%
6599-RCLCJ,Male,0,Yes,No,47.0,Yes,Yes,Fibra ótica,No,Yes,Yes,Yes,Yes,Yes,Mensal,Yes,Fatura digital,109.55,5124.55,Oferta do Concorrente,0.9996762275695801,inference,5,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",164.27,100.0%
5013-SBUIH,Female,0,No,No,50.0,Yes,Yes,Fibra ótica,Yes,Yes,No,Yes,Yes,Yes,2 anos,Yes,Fatura digital,109.65,5551.15,Oferta do Concorrente,0.9987149238586426,inference,5,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade.",164.26,99.9%
2834-JRTUA,Male,0,No,No,71.0,Yes,Yes,Fibra ótica,Yes,No,Yes,Yes,Yes,Yes,2 anos,Yes,Fatura digital,108.05,7532.15,Alto Preço,0.9991694688796997,inference,5,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade.",161.94,99.9%
2027-FECZV,Male,0,No,No,12.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,106.7,1253.9,Oferta do Concorrente,0.9997383952140808,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",160.01,100.0%
9572-MTILT,Male,0,Yes,No,59.0,Yes,Yes,Fibra ótica,Yes,Yes,Yes,Yes,Yes,No,Mensal,Yes,Fatura digital,106.75,6252.9,Alto Preço,0.9983589053153992,inference,5,CRÍTICO,"Cliente com alto risco de churn devido a preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",159.86,99.8%
7825-ECJRF,Female,0,No,No,19.0,Yes,No,Fibra ótica,Yes,No,Yes,Yes,Yes,Yes,Mensal,Yes,Fatura digital,106.6,1934.45,Problema de conexão,0.9994753003120422,inference,5,CRÍTICO,"O cliente tem Fibra com risco de churn por internet_connection, ofereça visita técnica VIP ou troca de equipamento e desconto de 15% por fidelidade.",159.82,99.9%
8651-ENBZX,Female,1,No,No,60.0,Yes,Yes,Fibra ótica,No,No,Yes,Yes,Yes,Yes,1 ano,Yes,Fatura digital,106.0,6441.4,Alto Preço,0.999828577041626,inference,4,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade.",158.97,100.0%
6425-YQLLO,Female,1,Yes,No,66.0,Yes,Yes,Fibra ótica,No,No,Yes,Yes,Yes,Yes,1 ano,Yes,Cartão de crédito,105.95,6975.25,Oferta do Concorrente,0.9995392560958862,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade.",158.85,100.0%
1228-FZFRV,Male,0,Yes,Yes,50.0,Yes,Yes,Fibra ótica,Yes,No,Yes,No,Yes,Yes,Mensal,No,Cartão de crédito,105.95,5341.8,Oferta do Concorrente,0.9979448914527893,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a oferta de concorrente, ofereça 15% de desconto por fidelidade de 1 ano.",158.6,99.8%
8111-SLLHI,Male,1,Yes,No,39.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,105.65,4284.8,Oferta do Concorrente,0.9997280240058899,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",158.43,100.0%
2722-VOJQL,Male,0,No,No,64.0,Yes,Yes,Fibra ótica,No,Yes,No,Yes,Yes,Yes,1 ano,Yes,Cartão de crédito,105.65,6903.1,Alto Preço,0.999392032623291,inference,4,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade.",158.38,99.9%
7892-POOKP,Female,0,Yes,No,28.0,Yes,Yes,Fibra ótica,No,No,Yes,Yes,Yes,Yes,Mensal,Yes,Fatura digital,104.8,3046.05,Alto Preço,0.9998168349266052,inference,4,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,157.17,100.0%
9412-GHEEC,Male,0,No,No,40.0,Yes,Yes,Fibra ótica,No,No,Yes,Yes,Yes,Yes,Mensal,No,Débito automático,104.8,4131.95,Alto Preço,0.9995545744895935,inference,4,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,157.13,100.0%
8625-AZYZY,Male,0,Yes,No,24.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,104.65,2542.45,Oferta do Concorrente,0.9998528957366943,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",156.95,100.0%
2359-QWQUL,Female,0,Yes,No,39.0,Yes,No,Fibra ótica,Yes,No,Yes,Yes,Yes,Yes,1 ano,Yes,Cartão de crédito,104.7,4134.85,Oferta do Concorrente,0.9977349042892456,inference,5,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a oferta de concorrente, ofereça 15% de desconto por fidelidade.",156.69,99.8%
